,author_name,book_name,book_link,book_category
23,آرثر كونان دويل,قصة مغامرة تشارلز أوجستس ميلفيرتون ,https://www.arab-books.com/wp-content/plugins/pdf-viewer/stable/web/viewer.html?file=https://www.arab-books.com/wp-content/uploads/2020/05/D982D8B5D8A9D985D8BAD8A7D985D8B1D8A9D8AAD8B4D8A7D8B1D984D8B2D8A3D988D8ACD8B3D8AAD8B3D985D98AD984D981D98AD8B1D8AAD988D986.pdf,   الأدب العالمي المترجم  القصص القصيرة المترجمة
24,آرثر كونان دويل,قصة مغامرة الرجال الراقصين ,https://www.arab-books.com/wp-content/plugins/pdf-viewer/stable/web/viewer.html?file=https://www.arab-books.com/wp-content/uploads/2020/05/D982D8B5D8A9D985D8BAD8A7D985D8B1D8A9D8A7D984D8B1D8ACD8A7D984D8A7D984D8B1D8A7D982D8B5D98AD986.pdf,   الأدب العالمي المترجم  القصص القصيرة المترجمة
25,آرثر كونان دويل,قصة مغامرة العصابة الرقطاء ,https://www.arab-books.com/wp-content/plugins/pdf-viewer/stable/web/viewer.html?file=https://www.arab-books.com/wp-content/uploads/2020/05/D982D8B5D8A9D985D8BAD8A7D985D8B1D8A9D8A7D984D8B9D8B5D8A7D8A8D8A9D8A7D984D8B1D982D8B7D8A7D8A1.pdf,   الأدب العالمي المترجم  القصص القصيرة المترجمة
26,آرثر كونان دويل,قصة مغامرة منزل آبي جرينج ,https://www.arab-books.com/wp-content/plugins/pdf-viewer/stable/web/viewer.html?file=https://www.arab-books.com/wp-content/uploads/2020/05/D982D8B5D8A9D985D8BAD8A7D985D8B1D8A9D985D986D8B2D984D8A2D8A8D98AD8ACD8B1D98AD986D8AC.pdf,   الأدب العالمي المترجم  القصص القصيرة المترجمة
27,آرثر كونان دويل,قصة مغامرة المنزل ذي الأسقفِ المُحدَّبة الثلاثة ,https://www.arab-books.com/wp-content/plugins/pdf-viewer/stable/web/viewer.html?file=https://www.arab-books.com/wp-content/uploads/2020/05/D982D8B5D8A9D985D8BAD8A7D985D8B1D8A9D8A7D984D985D986D8B2D984D8B0D98AD8A7D984D8A3D8B3D982D981D990D8A7D984D985D98FD8ADD8AFD98ED991D8A8D8A9D8A7D984D8ABD984D8A7D8ABD8A9.pdf,   الأدب العالمي المترجم  القصص القصيرة المترجمة
28,آرثر كونان دويل,قصة مغامرة جوهرة مازارين ,https://www.arab-books.com/wp-content/plugins/pdf-viewer/stable/web/viewer.html?file=https://www.arab-books.com/wp-content/uploads/2020/05/D982D8B5D8A9D985D8BAD8A7D985D8B1D8A9D8ACD988D987D8B1D8A9D985D8A7D8B2D8A7D8B1D98AD986.pdf,   الأدب العالمي المترجم  القصص القصيرة المترجمة
29,آرثر كونان دويل,قصة مغامرة الجندي الشاحب ,https://www.arab-books.com/wp-content/plugins/pdf-viewer/stable/web/viewer.html?file=https://www.arab-books.com/wp-content/uploads/2020/05/D982D8B5D8A9D985D8BAD8A7D985D8B1D8A9D8A7D984D8ACD986D8AFD98AD8A7D984D8B4D8A7D8ADD8A8.pdf,   الأدب العالمي المترجم  القصص القصيرة المترجمة
30,آرثر كونان دويل,قصة مغامرة المنزل الخالي ,https://www.arab-books.com/wp-content/plugins/pdf-viewer/stable/web/viewer.html?file=https://www.arab-books.com/wp-content/uploads/2020/05/D982D8B5D8A9D985D8BAD8A7D985D8B1D8A9D8A7D984D985D986D8B2D984D8A7D984D8AED8A7D984D98A.pdf,   الأدب العالمي المترجم  القصص القصيرة المترجمة
31,آرثر كونان دويل,قصة مغامرة بيتر الأسود ,https://www.arab-books.com/wp-content/plugins/pdf-viewer/stable/web/viewer.html?file=https://www.arab-books.com/wp-content/uploads/2020/05/D982D8B5D8A9D985D8BAD8A7D985D8B1D8A9D8A8D98AD8AAD8B1D8A7D984D8A3D8B3D988D8AF.pdf,   الأدب العالمي المترجم  القصص القصيرة المترجمة
32,آرثر كونان دويل,قصة مغامرة راكبة الدراجة في الطريق المهجور ,https://www.arab-books.com/wp-content/plugins/pdf-viewer/stable/web/viewer.html?file=https://www.arab-books.com/wp-content/uploads/2020/05/D982D8B5D8A9D985D8BAD8A7D985D8B1D8A9D8B1D8A7D983D8A8D8A9D8A7D984D8AFD8B1D8A7D8ACD8A9D981D98AD8A7D984D8B7D8B1D98AD982D8A7D984D985D987D8ACD988D8B1.pdf,   الأدب العالمي المترجم  القصص القصيرة المترجمة
33,آرثر كونان دويل,قصة مغامرة المحقق المحتضر ,https://www.arab-books.com/wp-content/plugins/pdf-viewer/stable/web/viewer.html?file=https://www.arab-books.com/wp-content/uploads/2020/05/C399C285C399C283C398C2AAC398C2A8C398C2A9C399C286C399C288C398C2B1C399C285C398C2BAC398C2A7C399C285C398C2B1C398C2A9C398C2A7C399C284C399C285C398C2ADC399C282C399C282C398C2A7C399C284C399C285C398C2ADC398C2AAC398C2B6C398C2B1.pdf,   الأدب العالمي المترجم  القصص القصيرة المترجمة
34,آرثر كونان دويل,قصة مغامرة الطلَّاب الثلاثة ,https://www.arab-books.com/wp-content/plugins/pdf-viewer/stable/web/viewer.html?file=https://www.arab-books.com/wp-content/uploads/2020/05/D982D8B5D8A9D985D8BAD8A7D985D8B1D8A9D8A7D984D8B7D984D98ED991D8A7D8A8D8A7D984D8ABD984D8A7D8ABD8A9.pdf,   الأدب العالمي المترجم  القصص القصيرة المترجمة
35,آرثر كونان دويل,قصة قضية هوية ,https://www.arab-books.com/wp-content/plugins/pdf-viewer/stable/web/viewer.html?file=https://www.arab-books.com/wp-content/uploads/2020/05/D982D8B5D8A9D982D8B6D98AD8A9D987D988D98AD8A9.pdf,   الأدب العالمي المترجم  القصص القصيرة المترجمة
