,author_name,book_name,book_category,book_language,number_of_pages,publisher,book_size
41,آرثر كونان دويل,قصة مغامرة نظَّارة الأنف الذهبية ,   الأدب العالمي المترجم  القصص القصيرة المترجمة,Arabic,30,  هنداوي ,3.57
42,آرثر كونان دويل,مغامرة مصاص دماء ساسكس ,   الأدب العالمي المترجم  القصص القصيرة المترجمة,Arabic,23,  هنداوي ,0.186
43,آرثر كونان دويل,مغامرات شارلوك هولمز ,   الأدب العالمي المترجم  القصص القصيرة المترجمة,Arabic,70, كلمات عربية  والنشر,0.801
44,آرثر كونان دويل,شارلوك هولمز مغامرة تماثيل نابليون الستة ,   الأدب العالمي المترجم  القصص القصيرة المترجمة,Arabic,28,  هنداوي ,3.56
45,آيه دبليو هال, مغامرات هانز العجيبة ,  الثقافة العامة,Arabic,180, كلمة,2
46,آيه دبليو هال, العملاقة والقارب الحجري ,  الثقافة العامة,Arabic,157, كلمة,2
47,أ.ل.شيلتون, شجرة الحياة ,  الثقافة العامة,Arabic,200, كلمة,2
48,أبو الحسن علي الحسني الندوي, بين الصورة والحقيقة ,   اسلامية,Arabic,20,  ابن كثير,329.8
49,أبو الحسن علي الحسني الندوي, إلى قمة القيادة العالمية ,   اسلامية,Arabic,15,  ابن كثير,903.7
50,أبو الحسن علي الحسني الندوي, مذكرات الدعوة والداعية ,   اسلامية,Arabic,324,  ابن كثير,2.4
51,أبو الحسن علي الحسني الندوي, ردة ولا أبا بكر لها ,   اسلامية,Arabic,28,  ابن كثير,338.3
52,أبو الحسن علي الحسني الندوي, الإسلام والحكم ,   اسلامية,Arabic,31,  ابن كثير,556.1
53,أبو الحسن علي الحسني الندوي, ملة إبراهيم وحضارة الإسلام ,   اسلامية,Arabic,32,  ابن كثير,540.5
54,أبو الحسن علي الحسني الندوي, ترشيد الصحوة الإسلامية ,   اسلامية,Arabic,136,  ابن كثير,1.8
55,أبو الحسن علي الحسني الندوي, المسلمون تجاه الحضارة الغربية ,   اسلامية,Arabic,84,  ابن كثير,1.3
56,أبو الحسن علي الحسني الندوي, مقالات حول السيرة النبوية ,   اسلامية,Arabic,253,  ابن كثير,5.6
57,أبو الحسن علي الحسني الندوي, الإمام الذي لم يوف حقه ,   اسلامية,Arabic,72,  ابن كثير,1.1
58,أبو الحسن علي الحسني الندوي, شخصيات وكتب ,   اسلامية,Arabic,247,  ابن كثير,4.4
59,أبو الحسن علي الحسني الندوي, من أعلام المسلمين ومشاهيرهم ,   اسلامية,Arabic,367,  ابن كثير,7.4
60,أبو الحسن علي الحسني الندوي, رجال الفكر والدعوة ج 3-4 ,   اسلامية,Arabic,797,  ابن كثير,14.26
61,أبو الحسن علي الحسني الندوي, رجال الفكر والدعوة ج 1-2 ,   اسلامية,Arabic,814,  ابن كثير,14.34
62,أبو الحسن علي الحسني الندوي, الحضارة الغربية ,   اسلامية,Arabic,48,  ابن كثير,2.7
63,أبو الحسن علي الحسني الندوي, نصائح وتوجيهات ,   اسلامية,Arabic,80,  ابن كثير,1
64,أبو الحسن علي الحسني الندوي, قصص النبيين للأطفال ,   اسلامية,Arabic,384, ال الإسلامي العلمي,3.8
65,أبو الحسن علي الحسني الندوي, المرتضى ,   اسلامية,Arabic,284, ال الإسلامي العلمي,4.1
66,أبو الحسن علي الحسني الندوي, النبوة والأنبياء ,   اسلامية,Arabic,60, ال الإسلامي العلمي,3.7
67,أبو الحسن علي الحسني الندوي, من الجاهلية إلى الإسلام ,   اسلامية,Arabic,65, ال الإسلامي العلمي,811.4
68,أبو الحسن علي الحسني الندوي, نفحات الإيمان ,   اسلامية,Arabic,109, ال الإسلامي العلمي,1.4
69,أبو الحسن علي الحسني الندوي, مسئولية العلماء في الأوضاع المتغيرة ,   اسلامية,Arabic,16, ال الإسلامي العلمي,346.1
70,أبو الحسن علي الحسني الندوي, موقف العالم الإسلامي ,   اسلامية,Arabic,120, ال الإسلامي العلمي,1.8
71,أبو الحسن علي الحسني الندوي, من نهر كابل إلى نهر اليرموك ,   اسلامية,Arabic,231, ال الإسلامي العلمي,5.9
72,أبو الحسن علي الحسني الندوي, صورتان متضادتان ,   اسلامية,Arabic,117, ال الإسلامي العلمي,1.9
73,أبو الحسن علي الحسني الندوي, الطريق إلى السعادة ,   اسلامية,Arabic,224, ال الإسلامي العلمي,2.7
74,أبو الحسن علي الحسني الندوي, اسمعوها مني صريحة أيها العرب ,   اسلامية,Arabic,27, ال الإسلامي العلمي,344.1
75,أبو الحسن علي الحسني الندوي, التفسير السياسي للإسلام ,   اسلامية,Arabic,168, ال الإسلامي العلمي,2
76,أبو الحسن علي الحسني الندوي, العقيدة والعبادة والسلوك ,   اسلامية,Arabic,203, ال الإسلامي العلمي,2.5
